"letra","CAUSA","A","NombreAfec","LSex","LInf","LSup","Triv","errad","Nin","Ninmtobs","No_CBD","No_Aph","FETAL","capitulo","Lista1","Grupo1","Lista5","ACTUALIZAC","year_modif","prinmorta","prinmorbi","lm_morbi","lm_morta","lgbd165","lOMSBeck","lgbd190","NotDiaria","NotSemanal","SistemaEspecial","birmm","poco_util","epi_morta","epi_morta_m5","Causes","CATEGORIA","CATCOD","NV0","NV1"
"A","A00","F","Cólera","F","F","F","F","F","T","F","F","F","F","01","002","001","001","F","F","001","001","F","F","F","1",,"T","T","T","F","5","F","F","F","GASTRO","11","3","1"
"A","A000","F","Cólera debido a Vibrio cholerae 01, biotipo cholerae","F","F","F","F","F","T","F","F","F","F","01","002","001","001","F","F","001","001"," 01A"," 01A","10","1","10","T","T","T","F","5","T","F","F","GASTRO","11","3","1"
"A","A001","F","Cólera debido a Vibrio cholerae 01, biotipo el Tor","F","F","F","F","F","T","F","F","F","F","01","002","001","001","F","F","001","001"," 01A"," 01A","10","1","10","T","T","T","F","5","T","F","F","GASTRO","11","3","1"
"A","A009","F","Cólera, no especificado","F","F","F","F","F","T","F","F","F","F","01","002","001","001","F","F","001","001"," 01A"," 01A","10","1","10","T","T","T","F","5","T","F","F","GASTRO","11","3","1"
"A","A01","F","Fiebres tifoidea y paratifoidea","F","F","F","F","F","F","F","F","F","F","01","004","001","002","F","F","001","001","F","F","F","1",,"F","F","F","F","5","F","F","F","GASTRO","11","3","1"
"A","A010","F","Fiebre tifoidea","F","F","F","F","F","F","F","F","F","F","01","004","001","002","F","F","001","001"," 01B"," 01B","10","1","10","F","T","F","F","5","F","T","T","GASTRO","11","3","1"
"A","A011","F","Fiebre paratifoidea A","F","F","F","F","F","F","F","F","F","F","01","004","001","002","F","F","001","001"," 01C"," 01C","10","1","10","F","T","F","F","5","F","T","T","GASTRO","11","3","1"
"A","A012","F","Fiebre paratifoidea B","F","F","F","F","F","F","F","F","F","F","01","004","001","002","F","F","001","001"," 01C"," 01C","10","1","10","F","F","F","F","5","F","F","T","GASTRO","11","3","1"
"A","A013","F","Fiebre paratifoidea C","F","F","F","F","F","F","F","F","F","F","01","004","001","002","F","F","001","001"," 01C"," 01C","10","1","10","F","F","F","F","5","F","F","T","GASTRO","11","3","1"
"A","A014","F","Fiebre paratifoidea, no especificada","F","F","F","F","F","F","F","F","F","F","01","004","001","002","F","F","001","001"," 01C"," 01C","10","1","10","F","F","F","F","5","F","F","T","GASTRO","11","3","1"
