"ENTIDAD","MUN","LOC","co_mean","no_mean","no2_mean","nox_mean","o3_mean","pm10_mean","pm25_mean","so2_mean"
09,002,0001,4.1384,14.7886,29.6086,55.5230,33.6003,48.6623,25.9689,6.9187
09,003,0001,0.1054,10.2789,28.0446,46.1454,32.6267,43.8851,22.4923,8.4591
09,004,0001,0.1990,28.0697,24.0281,47.6787,36.5992,36.9912,20.2182,8.4912
09,004,0010,0.1304,34.0935,22.9196,46.7826,36.9091,35.6014,18.9092,8.8559
09,004,0020,0.1481,33.4792,23.1875,49.4673,36.7820,35.7967,19.1848,8.7384
09,004,0050,0.1547,30.8300,23.4073,49.0772,36.7611,36.2661,19.4796,8.7076
09,004,0054,0.1016,39.4073,22.3201,45.3448,36.9510,34.6761,18.1438,9.0379
09,004,0055,0.1944,32.2220,23.5243,48.6696,36.6589,36.1637,19.5965,8.6019
09,004,0056,0.1477,27.9425,23.7043,48.6032,36.5689,36.8393,19.7890,8.6695
09,004,0057,0.2246,32.4515,23.6331,48.3266,36.5751,36.2348,19.7301,8.5384
09,004,0058,0.1944,32.8430,23.5503,48.5487,36.6007,36.1255,19.6222,8.5691
09,004,0059,0.1064,40.6526,22.2601,45.4575,36.9094,34.4851,18.0094,9.0489
09,004,0062,0.1268,38.2826,22.5290,44.8939,36.9001,34.8766,18.3510,8.9593
09,004,0063,0.1285,29.1391,23.3265,46.2933,36.8330,36.5389,19.4305,8.8100
09,004,0066,0.1864,31.8148,23.5052,48.7289,36.6902,36.1937,19.5783,8.6246
09,004,0070,0.2858,27.7363,24.4463,46.6957,36.3403,37.4031,20.6823,8.3096
09,004,0073,0.2858,29.1348,24.2104,47.0989,36.4370,37.0622,20.4401,8.3644
09,004,0074,0.2426,28.4311,24.2260,47.1285,36.4969,37.1288,20.4567,8.3823
09,004,0077,0.1944,32.3666,23.5890,48.4622,36.6107,36.2028,19.6751,8.5638
09,005,0001,5.3870,11.7568,28.0466,53.8563,31.6636,53.2107,24.4841,6.9990
09,006,0001,0.5517,7.6671,29.6034,49.5565,32.3401,50.4744,24.4941,7.9458
09,007,0001,0.1691,8.7551,28.5413,50.7557,32.8350,49.5519,23.8710,8.4204
09,008,0001,0.0635,23.0743,23.5534,45.4982,37.6591,38.3017,19.8190,8.9959
09,008,0071,0.0411,29.4386,21.5905,46.7732,37.9836,37.3832,19.1184,9.4535
09,008,0075,0.0636,29.3870,22.4632,45.8525,37.5733,36.7155,19.0781,9.1636
09,008,0083,0.0598,25.9764,22.7306,45.3798,37.8287,37.6672,19.4394,9.1640
09,008,0085,0.0632,26.9338,22.8587,46.6629,37.5708,37.2540,19.3602,9.0894
09,008,0088,0.0538,26.4090,22.4962,45.6380,37.9242,37.6719,19.3857,9.2276
09,008,0101,0.0632,25.9965,22.9007,46.5404,37.6880,37.5510,19.4529,9.1057
09,008,0104,0.0411,29.4457,21.7178,46.6630,37.9492,37.2531,19.0972,9.4130
09,008,0106,0.0749,26.8491,23.0455,44.9644,37.3921,37.1875,19.4052,9.0220
09,008,0108,0.0598,25.9365,22.8088,45.2759,37.7753,37.6302,19.4493,9.1392
09,008,0111,0.0488,26.8577,22.3433,45.8580,37.9569,37.6222,19.3377,9.2649
09,008,0112,0.0488,27.4133,22.2995,45.9205,37.9158,37.4564,19.2776,9.2662
09,009,0001,0.0374,31.3168,17.3899,45.4463,39.0534,44.5150,21.3263,10.1303
09,009,0011,0.0548,29.6871,17.8825,44.0763,38.0780,46.4523,21.7603,9.9831
09,009,0015,0.0326,27.3713,18.9772,44.6663,37.4508,44.1357,21.1096,9.9824
09,009,0017,0.0445,31.2582,17.2974,44.9550,39.0912,45.2050,21.5033,10.0980
09,009,0024,0.0280,30.0964,18.4076,45.4638,37.6237,43.1928,20.9031,10.1014
09,009,0029,0.0339,28.7128,18.3734,43.8102,38.0554,44.4343,21.2398,10.0363
09,009,0033,0.0270,29.3253,18.8706,43.9212,37.1266,42.8352,20.7703,10.0598
09,009,0036,0.0374,34.6926,16.2880,45.7143,40.2476,44.1752,21.2891,10.2462
09,009,0037,0.0512,29.4512,17.9050,44.3131,38.3345,46.1225,21.6957,9.9961
09,009,0045,0.0337,31.7337,17.4410,44.3166,38.8672,43.9607,21.1756,10.1617
09,009,0046,0.0258,30.4739,18.5751,44.1776,37.2573,42.6571,20.7489,10.1091
09,009,0050,0.0354,32.8703,16.9430,45.7462,39.4789,44.1620,21.2570,10.1939
09,009,0052,0.0306,30.8238,17.8903,44.3376,38.3071,43.7007,21.0767,10.1317
09,009,0054,0.0268,32.0217,17.8834,45.8890,37.9714,42.9233,20.8685,10.1818
09,009,0056,0.0321,30.0185,18.0920,45.2134,38.1792,43.9047,21.1175,10.0971
09,009,0066,0.0377,36.2869,16.0998,45.9963,40.0173,43.9067,21.1960,10.3025
09,009,0067,0.0355,30.9136,17.6281,45.6008,38.7491,44.2420,21.2397,10.1249
09,009,0068,0.0295,27.4176,19.1665,44.8142,37.1757,43.6259,20.9544,9.9828
09,009,0072,0.0337,33.3994,16.9279,46.0532,39.3690,43.7829,21.1550,10.2239
09,009,0074,0.0355,33.8499,16.6116,45.7959,39.8491,44.1123,21.2592,10.2258
09,009,0077,0.0308,33.7848,16.8962,44.6277,39.3185,43.5923,21.1037,10.2421
09,009,0081,0.0292,30.9077,18.0110,45.5434,38.0684,43.3970,20.9867,10.1369
09,009,0082,0.0292,30.6355,18.0555,45.4742,38.0682,43.5013,21.0116,10.1254
09,009,0083,0.0356,29.6389,18.0045,45.3544,38.4284,44.5191,21.2892,10.0705
09,009,0084,0.0281,28.8273,18.7705,45.1772,37.3956,43.3727,20.9213,10.0461
09,009,0088,0.0306,30.7342,17.9013,44.3087,38.3129,43.7466,21.0883,10.1276
09,009,0090,0.0306,32.8122,17.3101,44.6641,38.8034,43.4463,21.0433,10.2110
09,009,0092,0.0294,33.7886,17.1819,44.9020,38.7586,43.0930,20.9525,10.2512
09,009,0095,0.0373,32.8244,16.8627,45.4961,39.6143,44.4437,21.3347,10.1808
09,009,0096,0.0258,32.9326,17.8316,46.2026,37.7989,42.5102,20.7618,10.2149
09,009,0098,0.0356,29.2001,18.0977,45.1492,38.3796,44.7635,21.3482,10.0473
09,009,0099,0.0401,36.3746,16.0824,45.8238,39.9173,44.1049,21.2374,10.2938
09,009,0101,0.0323,28.3756,18.5871,44.8582,37.7971,44.1808,21.1543,10.0261
09,009,0103,0.0321,30.3314,18.0280,45.3159,38.2030,43.7903,21.0913,10.1110
09,009,0104,0.0268,32.2363,17.9387,45.9925,37.8110,42.7114,20.8087,10.1885
09,009,0105,0.0258,32.7753,17.8240,46.1300,37.8581,42.6037,20.7871,10.2098
09,009,0109,0.0356,29.0987,18.1315,45.1114,38.3493,44.7768,21.3495,10.0431
09,009,0112,0.0342,27.9047,18.6532,44.6607,37.8124,44.4963,21.2348,10.0021
09,009,0113,0.0342,26.5373,19.1115,44.3318,37.4498,44.6703,21.2444,9.9407
09,009,0115,0.0342,27.6299,18.8013,44.6392,37.6513,44.3576,21.1850,9.9922
09,009,0116,0.0444,33.4619,16.6272,45.1345,39.6555,44.9382,21.4555,10.1723
09,009,0117,0.0268,31.9688,17.9590,45.9176,37.8526,42.8276,20.8383,10.1786
09,009,0120,0.0258,31.5710,18.1636,45.8789,37.6139,42.7158,20.7951,10.1598
09,009,0126,0.0356,29.8328,17.9237,45.3254,38.5142,44.5505,21.3030,10.0769
09,009,0129,0.0373,33.4698,16.7153,45.7265,39.7476,44.1896,21.2753,10.2112
09,009,0131,0.0337,30.4840,17.7455,45.4956,38.6547,44.3571,21.2630,10.1062
09,009,0134,0.0260,29.6511,19.0016,44.0441,36.8758,42.4000,20.6451,10.0620
09,009,0138,0.0477,30.7639,17.4812,44.5224,38.6813,45.7928,21.6289,10.0520
09,009,0139,0.0444,33.2998,16.6719,45.1137,39.6208,44.9602,21.4603,10.1670
09,009,0140,0.0473,32.9740,16.8916,44.7128,38.9295,45.5299,21.5646,10.1244
09,009,0141,0.0283,27.4169,19.2457,44.8464,37.0738,43.4472,20.8988,9.9805
09,009,0142,0.0342,27.4081,18.7990,44.5136,37.7088,44.6237,21.2578,9.9791
09,009,0147,0.0286,26.4369,19.6089,43.2517,36.8441,43.4328,20.8603,9.9316
09,009,0151,0.0249,30.0556,18.9121,42.4370,36.8910,42.3228,20.6335,10.0788
09,009,0152,0.0321,32.7671,17.1667,44.4988,39.0910,43.7511,21.1343,10.2033
09,009,0154,0.0298,26.7373,19.4718,43.2741,36.9394,43.4963,20.8908,9.9479
09,009,0155,0.0323,28.0362,18.6403,44.7026,37.7997,44.3863,21.2059,10.0092
09,009,0156,0.0281,28.8030,18.8146,45.1905,37.3368,43.3004,20.8983,10.0441
09,009,0158,0.0308,28.7416,18.5885,45.0270,37.6990,43.8391,21.0618,10.0440
09,009,0159,0.0293,29.2020,18.4557,45.1291,37.7902,43.7566,21.0502,10.0642
09,009,0161,0.0307,30.2516,18.1269,45.3389,38.0532,43.6397,21.0437,10.1089
09,009,0163,0.0383,26.7334,18.8872,44.5787,37.7291,45.3009,21.4356,9.9360
09,009,0166,0.0404,27.2765,18.6612,44.5620,37.9356,45.4796,21.5006,9.9518
09,009,0167,0.0356,28.8782,18.1929,45.0734,38.3020,44.8562,21.3665,10.0325
09,009,0168,0.0480,28.6787,18.1584,44.1708,38.1606,46.2812,21.7271,9.9643
09,009,0169,0.0292,30.7736,17.9650,45.4537,38.1882,43.5834,21.0400,10.1307
09,009,0171,0.0509,30.9769,17.4278,44.5213,38.6598,45.8331,21.6365,10.0554
