Var,F1,F2
REL_H_M,0.112,0.706
PROM_HNV,0.062,0.967
GRAPROES,-0.28,-0.771
PROM_OCUP,0.183,0.779
P3HLINHE_M,0.785,0.005
P5_HLI_NHE,0.852,-0.014
PDER_IMSS,-0.975,0.254
PDER_ISTE,0.178,-0.67
PDER_ISTEE,-0.087,0.107
PAFIL_PDOM,-0.088,-0.262
PDER_SEGP,0.818,0.115
PDER_IMSSB,0.171,0.171
PAFIL_IPRIV,-0.011,-0.536
VIVPAR_UT,0.08,-0.452
VPH_PISOTI,0.844,0.149
VPH_1CUART,0.773,0.101
VPH_AGUAFV,0.536,-0.03
VPH_LETR,0.912,-0.15
VPH_NODREN,0.841,-0.011
VPH_SNBIEN,0.531,0.514
VPH_SINRTV,0.627,0.243
VPH_SINTIC,0.439,0.607
